route_id,time_s,provider,margin_dB,运输架次编号,保障主体
K000001,1667.5102694425366,Q3-R001,0.3475985996355604,Q3-T005,Q3-R002
K000001,1693.515651246585,Q3-R004,0.6128158924588263,Q3-T005,Q3-R001
K000001,1745.5264148546828,Q3-R004,1.5778209041368143,Q3-T005,Q3-R001
K000001,1898.078644302992,G01,0.0,Q3-T005,G01
K000001,1901.5587056789752,G01,0.1152700292846731,Q3-T005,G01
K000001,2008.3305179893653,G01,14.692816863377544,Q3-T005,G01
K000001,2161.612523719462,G01,37.7955515486551,Q3-T005,G01
K000001,2161.612523719462,G01,37.7955515486551,Q3-T005,G01
K000001,2252.2396507946573,G01,45.92517525248826,Q3-T005,G01
K000005,2101.55262448662,G01,45.92517525248826,Q3-T006,G01
K000005,2159.695268529588,G01,39.98283037714855,Q3-T006,G01
K000005,2159.695268529588,G01,39.98283037714855,Q3-T006,G01
K000005,2363.29684236392,G01,2.2410165102830177,Q3-T006,G01
K000005,2363.29684236392,G01,2.2410165102830177,Q3-T006,G01
K000005,2407.825147417631,G01,2.24771385877267,Q3-T006,G01
K000005,2407.825147417631,G01,2.24771385877267,Q3-T006,G01
K000005,2875.825147417631,G01,2.24771385877267,Q3-T006,G01
K000005,2875.825147417631,G01,2.24771385877267,Q3-T006,G01
K000005,2911.4477914605995,G01,2.2410165102830177,Q3-T006,G01
K000005,2911.4477914605995,G01,2.2410165102830177,Q3-T006,G01
K000005,3115.0493652949312,G01,39.98283037714855,Q3-T006,G01
K000005,3115.0493652949312,G01,39.98283037714855,Q3-T006,G01
K000005,3187.7276703486423,G01,45.92517525248826,Q3-T006,G01
K000006,2259.7476752786897,G01,45.92517525248826,Q3-T007,G01
K000006,2362.3931871602003,G01,32.7598396645181,Q3-T007,G01
K000006,2362.3931871602003,G01,32.7598396645181,Q3-T007,G01
K000006,2481.0909863143665,G01,6.822974396014018,Q3-T007,G01
K000006,2614.917674990684,G01,0.3528571655259611,Q3-T007,G01
K000006,2625.446787494504,G01,0.0,Q3-T007,G01
K000006,2641.4992000254715,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2654.7899625428654,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2668.0807250602597,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
K000006,2681.3714875776527,Q3-R004,3.674828985526801,Q3-T007,Q3-R001
