route_id,phase,t0,t1,provider,lower_margin_dB
K000011,巡航,4190.758253382,4394.359827217,G01,2.2410165102830177
K000011,下降,4394.359827217,4429.98247126,G01,2.241016510283089
K000011,物资投送,4429.98247126,4639.98247126,G01,2.24771385877267
K000011,爬升,4639.98247126,4669.668007962,G01,2.241016510283103
K000011,巡航,4669.668007962,4873.269581797,G01,2.2410165102830177
K000011,下降,4873.269581797,4931.41222584,G01,29.98283037722433
K000012,爬升,5196.613741917,5370.25539719,G01,19.603583756344364
K000012,巡航,5370.25539719,5632.01492756,G01,0.01785896963264122
K000012,巡航,5632.01492756,5645.102904079,Q3-R001,6.45524002949783
K000012,巡航,5645.102904079,5658.190880597,Q3-R001,6.6014087885641715
K000012,巡航,5658.190880597,5710.542786671,Q3-R001,6.712543177255398
K000012,巡航,5710.542786671,5762.894692745,Q3-R001,6.205946432922843
K000012,巡航,5762.894692745,5841.422551856,Q3-R001,4.663802581057425
K000012,巡航,5841.422551856,5854.510528375,Q3-R001,4.370378278652765
K000012,下降,5854.510528375,5891.727884739,Q3-R001,4.355452967079884
K000012,下降,5891.727884739,5928.945241102,Q3-R001,4.337254632047291
K000012,下降,5928.945241102,5966.162597466,Q3-R001,4.31582446317131
K000012,物资投送,5966.162597466,6362.162597466,Q3-R001,4.3158244631710545
K000012,爬升,6362.162597466,6391.936482558,Q3-R001,4.3158244631710545
K000012,爬升,6391.936482558,6421.710367649,Q3-R001,4.337254632047319
K000012,爬升,6421.710367649,6451.48425274,Q3-R001,4.355452967080254
K000012,巡航,6451.48425274,6464.572229258,Q3-R001,4.370378278656091
K000012,巡航,6464.572229258,6543.100088369,Q3-R001,4.663802581046966
K000012,巡航,6543.100088369,6595.451994443,Q3-R001,6.205946432915596
K000012,巡航,6595.451994443,6647.803900517,Q3-R001,6.712543177258723
K000012,巡航,6647.803900517,6660.891877036,Q3-R001,6.601408788558956
K000012,巡航,6660.891877036,6673.979853554,Q3-R005,0.019647347455304498
K000012,巡航,6673.979853554,6935.739383924,G01,0.01785896961720823
K000012,下降,6935.739383924,7152.791453016,G01,19.603583756332725
K000014,爬升,5621.60678994,5769.639875064,G01,19.396424967151802
K000014,巡航,5769.639875064,6028.124386557,G01,0.12360801948425149
K000014,巡航,6028.124386557,6079.821288856,Q3-R001,10.3103986180312
K000014,巡航,6079.821288856,6092.745514431,Q3-R001,10.978824655493412
K000014,巡航,6092.745514431,6105.669740005,Q3-R001,10.978824655493412
K000014,巡航,6105.669740005,6118.59396558,Q3-R001,10.978824655493412
K000014,巡航,6118.59396558,6144.442416729,Q3-R001,10.978824655493412
K000014,巡航,6144.442416729,6157.366642304,Q3-R001,10.978824655493412
K000014,巡航,6157.366642304,6170.290867879,Q3-R001,10.978824655493412
K000014,下降,6170.290867879,6209.210570027,Q3-R001,10.978824655493412
K000014,物资投送,6209.210570027,6449.210570027,Q3-R001,10.978824655493412
K000014,爬升,6449.210570027,6481.643655151,Q3-R001,10.978824655493412
K000014,巡航,6481.643655151,6494.567880725,Q3-R005,1.3804419282527078
K000014,巡航,6494.567880725,6507.4921063,Q3-R001,10.978824655493412
K000014,巡航,6507.4921063,6533.340557449,Q3-R001,10.978824655493412
K000014,巡航,6533.340557449,6546.264783024,Q3-R001,10.978824655493412
K000014,巡航,6546.264783024,6559.189008599,Q3-R001,10.978824655493412
K000014,巡航,6559.189008599,6572.113234173,Q3-R001,10.978824655493412
K000014,巡航,6572.113234173,6623.810136472,Q3-R001,10.310398618048652
K000014,巡航,6623.810136472,6882.294647965,G01,0.12360801947396283
K000014,下降,6882.294647965,7059.934350114,G01,19.396424967151802
K000015,爬升,5867.439194949,5975.654861453,G01,23.968262608772477
K000015,巡航,5975.654861453,6344.904581276,G01,7.068669443445486
K000015,巡航,6344.904581276,6371.279561263,Q3-R001,4.860196219586541
K000015,巡航,6371.279561263,6424.029521238,Q3-R001,3.9790361725132897
K000015,巡航,6424.029521238,6463.591991219,Q3-R001,3.223666242210072
K000015,巡航,6463.591991219,6476.779481212,Q3-R001,2.9641482099602854
K000015,巡航,6476.779481212,6489.966971206,Q3-R001,2.7031289399194947
K000015,下降,6489.966971206,6532.451762771,Q3-R001,2.685632494207155
K000015,下降,6532.451762771,6574.936554336,Q3-R005,10.187934124130948
K000015,物资投送,6574.936554336,6970.936554336,Q3-R005,10.187934124130948
K000015,爬升,6970.936554336,7004.924387588,Q3-R005,10.187934124130948
K000015,爬升,7004.924387588,7038.91222084,Q3-R001,2.6856324942074536
K000015,巡航,7038.91222084,7052.099710833,Q3-R001,2.703128939927069
K000015,巡航,7052.099710833,7065.287200827,Q3-R001,2.9641482099514462
K000015,巡航,7065.287200827,7104.849670808,Q3-R001,3.2236662422208724
K000015,巡航,7104.849670808,7157.599630782,Q3-R001,3.9790361725234504
K000015,巡航,7157.599630782,7183.97461077,Q3-R001,4.860196219580047
K000015,巡航,7183.97461077,7553.224330592,G01,7.068669443458447
K000015,下降,7553.224330592,7688.493913722,G01,23.968262608738186
