index,N,E_kWh,T_s,B_sorties,C_sorties,patterns
136,5.0,14.743058065241412,10140.616371251512,4.0,1.0,P00284:1;P00291:1;P00294:1;P00311:1;P00326:1
137,4.0,12.555500028022525,8246.00670621345,3.0,1.0,P00284:1;P00291:1;P00294:1;P00352:1
138,5.0,14.66207775597379,10140.616371251512,4.0,1.0,P00284:1;P00291:1;P00296:1;P00307:1;P00329:1
139,5.0,14.718557625999422,10140.616371251512,4.0,1.0,P00284:1;P00291:1;P00296:1;P00309:1;P00326:1
140,4.0,14.760636672253668,8397.574752274646,2.0,2.0,P00284:1;P00291:1;P00296:1;P00351:1
141,5.0,14.820587458467264,10146.616371251512,4.0,1.0,P00284:1;P00291:1;P00297:1;P00307:1;P00326:1
142,4.0,12.606473387623495,8246.00670621345,3.0,1.0,P00284:1;P00291:1;P00297:1;P00349:1
143,4.0,12.673504658815173,8252.00670621345,3.0,1.0,P00284:1;P00291:1;P00307:1;P00340:1
144,4.0,12.534953815392859,8246.00670621345,3.0,1.0,P00284:1;P00291:1;P00309:1;P00339:1
145,4.0,12.611535527202125,8240.00670621345,3.0,1.0,P00284:1;P00291:1;P00311:1;P00337:1
146,4.0,12.572801072071137,8246.00670621345,3.0,1.0,P00284:1;P00291:1;P00312:1;P00335:1
147,4.0,12.538819398635898,8246.00670621345,3.0,1.0,P00284:1;P00291:1;P00314:1;P00332:1
148,4.0,14.738615241071972,8397.574752274646,2.0,2.0,P00284:1;P00291:1;P00316:1;P00331:1
149,4.0,12.525530167619923,8246.00670621345,3.0,1.0,P00284:1;P00291:1;P00317:1;P00329:1
150,4.0,12.761397641459807,8252.00670621345,3.0,1.0,P00284:1;P00291:1;P00318:1;P00326:1
151,3.0,10.63724113551083,6357.397041175386,2.0,1.0,P00284:1;P00291:1;P00358:1
152,5.0,12.520584799129308,9983.048325190313,5.0,0.0,P00284:1;P00294:2;P00307:1;P00329:1
153,5.0,12.57706466915494,9983.048325190313,5.0,0.0,P00284:1;P00294:2;P00309:1;P00326:1
154,4.0,12.619143715409187,8240.00670621345,3.0,1.0,P00284:1;P00294:2;P00351:1
155,5.0,14.761232414521302,10140.616371251512,4.0,1.0,P00284:1;P00294:1;P00296:1;P00307:1;P00326:1
156,4.0,12.547118343677534,8240.006706213448,3.0,1.0,P00284:1;P00294:1;P00296:1;P00349:1
157,4.0,12.57762860391474,8246.00670621345,3.0,1.0,P00284:1;P00294:1;P00307:1;P00339:1
