scenario,tag,relaxation,status,seconds,objective,dual_bound,mip_gap,nodes
S015,energy_IP,False,0,0.0008088999893516302,2.3075883370944723,2.3075883370944723,0.0,1
global_463,bound_N,True,0,0.00251140003092587,16.394444444444446,0.0,0.0,0
global_463,integer_N,False,0,0.02517379994969815,18.0,18.0,0.0,1
global_463,bound_E,True,0,0.002908599970396608,57.35801831580177,0.0,0.0,0
global_463,integer_E,False,0,0.012444499996490777,59.03577746310043,59.03577746310043,0.0,1
global_463,bound_T,True,0,0.002778700029011816,30.054056478554386,0.0,0.0,0
global_463,integer_T,False,0,0.025075000012293458,32.77651678227691,32.77651678227691,0.0,1
global_463,energy_at_final_caps,True,0,0.0031622000387869775,57.35801831580177,0.0,0.0,0
global_463,regret_baseline,False,0,0.02642140001989901,215.31325440474006,215.31325440474006,0.0,1
global_463,regret_baseline,False,0,0.015149999991990626,313.2624825397674,313.2624825397674,0.0,1
global_463,regret_baseline,False,0,0.027552300016395748,117.08106664277574,117.08106664277574,0.0,1
global_463,regret_baseline,False,0,0.02500510000390932,312.97952291283025,312.97952291283025,0.0,1
global_463,regret_baseline,False,0,0.027506600017659366,116.79810701583862,116.79810701583862,0.0,1
global_463,regret_baseline,False,0,0.01586210000095889,214.74733515086587,214.74733515086587,0.0,1
global_463,region1_LP,True,0,0.0029337999876588583,57.358018315801765,0.0,0.0,0
global_463,region1_IP/lex1,False,0,0.02774589997716248,59.13313308089388,59.13313308089387,1.2015983235457534e-16,1
global_463,region1_IP/lex0,False,0,0.017579899984411895,18.0,18.0,0.0,1
global_463,region1_IP/lex2,False,0,0.015928199980407953,32.77651678227691,32.77651583450661,2.8916138414532127e-08,1
global_463,region2_LP,True,0,0.00327290000859648,57.35801831580177,0.0,0.0,0
global_463,region2_IP/lex1,False,2,0.02764970000134781,,,,0
global_463,region3_LP,True,0,0.0029833000153303146,57.358018315801765,0.0,0.0,0
global_463,region3_IP/lex1,False,0,0.020997800049372017,59.03577746310043,59.03577746310043,0.0,1
global_463,region3_IP/lex0,False,0,0.017543299996759742,19.0,19.0,0.0,1
global_463,region3_IP/lex2,False,0,0.021259100001771003,34.44048875202748,34.44048875202748,0.0,0
global_463,region4_LP,True,0,0.002941999991890043,57.35801831580177,0.0,0.0,0
global_463,region4_IP/lex1,False,0,0.07494150003185496,59.13313308089388,59.13313308089388,0.0,1
global_463,region4_IP/lex0,False,0,0.030139499984215945,17.99999999999994,17.99999999999994,0.0,1
global_463,region4_IP/lex2,False,0,0.021128599997609854,32.77651678227691,32.77651678227691,0.0,1
global_463,region5_LP,True,0,0.00313510000705719,57.35801831580177,0.0,0.0,0
global_463,region5_IP/lex1,False,2,0.028376400005072355,,,,0
