kind,route,relay,t0,t1
endpoint,K000006,Q3-R004,2954.9861018354677,2954.9861018354677
endpoint,K000006,Q3-R004,2982.9982803836438,2982.9982803836438
endpoint,K000006,Q3-R004,2982.9982803836438,2982.9982803836438
endpoint,K000006,Q3-R004,2982.9982803836447,2982.9982803836447
endpoint,K000006,Q3-R004,2996.2890429010386,2996.2890429010386
endpoint,K000006,Q3-R004,3009.5798054184324,3009.5798054184324
endpoint,K000006,Q3-R004,3022.8705679358263,3022.8705679358263
endpoint,K000006,Q3-R004,3036.16133045322,3036.16133045322
endpoint,K000007,Q3-R004,2674.894819247408,2674.894819247408
endpoint,K000007,Q3-R004,2687.826917526205,2687.826917526205
endpoint,K000007,Q3-R004,2700.7590158050016,2700.7590158050016
endpoint,K000007,Q3-R004,2713.6911140837983,2713.6911140837983
endpoint,K000007,Q3-R004,2726.623212362595,2726.623212362595
endpoint,K000007,Q3-R004,2726.6232123625955,2726.6232123625955
endpoint,K000007,Q3-R004,2726.6232123625955,2726.6232123625955
endpoint,K000007,Q3-R004,2745.6159418547822,2745.6159418547822
endpoint,K000007,Q3-R004,2745.615941854783,2745.615941854783
endpoint,K000007,Q3-R004,2745.615941854783,2745.615941854783
endpoint,K000007,Q3-R004,2985.6159418547822,2985.6159418547822
endpoint,K000007,Q3-R004,2985.615941854783,2985.615941854783
endpoint,K000007,Q3-R004,2985.615941854783,2985.615941854783
endpoint,K000007,Q3-R004,3001.4432164316054,3001.4432164316054
endpoint,K000007,Q3-R004,3001.4432164316063,3001.4432164316063
endpoint,K000007,Q3-R004,3001.4432164316063,3001.4432164316063
endpoint,K000007,Q3-R004,3014.375314710402,3014.375314710402
endpoint,K000007,Q3-R004,3027.307412989199,3027.307412989199
endpoint,K000007,Q3-R004,3040.2395112679956,3040.2395112679956
endpoint,K000007,Q3-R004,3053.1716095467923,3053.1716095467923
endpoint,K000008,Q3-R001,3118.8310874762724,3118.8310874762724
endpoint,K000008,Q3-R001,3131.9751958093766,3131.9751958093766
endpoint,K000008,Q3-R001,3145.1193041424813,3145.1193041424813
endpoint,K000008,Q3-R001,3158.2634124755855,3158.2634124755855
endpoint,K000008,Q3-R001,3158.263412475586,3158.263412475586
endpoint,K000008,Q3-R001,3158.263412475586,3158.263412475586
endpoint,K000008,Q3-R001,3199.1317062377925,3199.1317062377925
endpoint,K000008,Q3-R001,3239.9999999999995,3239.9999999999995
endpoint,K000008,Q3-R001,3240.0,3240.0
endpoint,K000008,Q3-R001,3240.0,3240.0
endpoint,K000008,Q3-R001,3599.9999999999995,3599.9999999999995
endpoint,K000008,Q3-R001,3600.0,3600.0
endpoint,K000008,Q3-R001,3600.0,3600.0
endpoint,K000008,Q3-R001,3632.694635009765,3632.694635009765
endpoint,K000008,Q3-R001,3665.3892700195306,3665.3892700195306
endpoint,K000008,Q3-R001,3665.389270019531,3665.389270019531
endpoint,K000008,Q3-R001,3665.389270019531,3665.389270019531
endpoint,K000008,Q3-R001,3678.533378352635,3678.533378352635
endpoint,K000008,Q3-R001,3691.6774866857395,3691.6774866857395
endpoint,K000008,Q3-R001,3704.821595018844,3704.821595018844
endpoint,K000009,Q3-R001,4037.9569972785343,4037.9569972785343
endpoint,K000009,Q3-R001,4051.0937622359143,4051.0937622359143
endpoint,K000009,Q3-R001,4064.2305271932937,4064.2305271932937
endpoint,K000009,Q3-R001,4077.3672921506736,4077.3672921506736
endpoint,K000009,Q3-R001,4090.504057108053,4090.504057108053
endpoint,K000009,Q3-R001,4103.640822065433,4103.640822065433
endpoint,K000009,Q3-R001,4116.777587022812,4116.777587022812
endpoint,K000009,Q3-R001,4129.914351980192,4129.914351980192
endpoint,K000009,Q3-R001,4143.051116937572,4143.051116937572
endpoint,K000009,Q3-R001,4156.187881894952,4156.187881894952
endpoint,K000009,Q3-R001,4169.324646852331,4169.324646852331
endpoint,K000009,Q3-R001,4182.461411809711,4182.461411809711
endpoint,K000009,Q3-R001,4195.598176767091,4195.598176767091
endpoint,K000009,Q3-R001,4208.73494172447,4208.73494172447
endpoint,K000009,Q3-R001,4221.87170668185,4221.87170668185
endpoint,K000009,Q3-R001,4235.008471639229,4235.008471639229
endpoint,K000009,Q3-R001,4248.145236596609,4248.145236596609
endpoint,K000009,Q3-R001,4261.282001553989,4261.282001553989
endpoint,K000009,Q3-R001,4274.418766511367,4274.418766511367
endpoint,K000009,Q3-R001,4274.418766511367,4274.418766511367
endpoint,K000009,Q3-R001,4274.418766511369,4274.418766511369
endpoint,K000009,Q3-R001,4299.921099580217,4299.921099580217
endpoint,K000009,Q3-R001,4325.423432649062,4325.423432649062
endpoint,K000009,Q3-R001,4325.423432649062,4325.423432649062
endpoint,K000009,Q3-R001,4325.423432649064,4325.423432649064
endpoint,K000009,Q3-R001,4685.423432649062,4685.423432649062
endpoint,K000009,Q3-R001,4685.423432649062,4685.423432649062
endpoint,K000009,Q3-R001,4685.423432649064,4685.423432649064
endpoint,K000009,Q3-R001,4705.825299104143,4705.825299104143
endpoint,K000009,Q3-R001,4726.2271655592185,4726.2271655592185
endpoint,K000009,Q3-R001,4726.2271655592185,4726.2271655592185
endpoint,K000009,Q3-R001,4726.22716555922,4726.22716555922
endpoint,K000009,Q3-R001,4739.3639305166,4739.3639305166
endpoint,K000009,Q3-R001,4752.50069547398,4752.50069547398
endpoint,K000009,Q3-R001,4765.63746043136,4765.63746043136
endpoint,K000009,Q3-R001,4778.774225388739,4778.774225388739
endpoint,K000009,Q3-R001,4791.9109903461185,4791.9109903461185
endpoint,K000009,Q3-R001,4805.047755303498,4805.047755303498
endpoint,K000009,Q3-R001,4818.184520260878,4818.184520260878
endpoint,K000009,Q3-R001,4831.321285218258,4831.321285218258
endpoint,K000009,Q3-R001,4844.458050175637,4844.458050175637
endpoint,K000009,Q3-R001,4857.594815133018,4857.594815133018
endpoint,K000009,Q3-R001,4870.731580090397,4870.731580090397
endpoint,K000009,Q3-R001,4883.8683450477765,4883.8683450477765
endpoint,K000009,Q3-R001,4897.005110005156,4897.005110005156
endpoint,K000009,Q3-R001,4910.141874962535,4910.141874962535
endpoint,K000009,Q3-R001,4923.278639919916,4923.278639919916
endpoint,K000009,Q3-R001,4936.415404877295,4936.415404877295
endpoint,K000009,Q3-R001,4949.552169834675,4949.552169834675
endpoint,K000009,Q3-R001,4962.688934792055,4962.688934792055
endpoint,K000010,Q3-R001,4192.370360782191,4192.370360782191
endpoint,K000010,Q3-R001,4205.373051684215,4205.373051684215
endpoint,K000010,Q3-R001,4218.3757425862395,4218.3757425862395
endpoint,K000010,Q3-R001,4231.378433488264,4231.378433488264
endpoint,K000010,Q3-R001,4244.381124390288,4244.381124390288
endpoint,K000010,Q3-R001,4257.383815292313,4257.383815292313
endpoint,K000010,Q3-R001,4270.386506194337,4270.386506194337
endpoint,K000010,Q3-R001,4283.389197096361,4283.389197096361
endpoint,K000010,Q3-R001,4296.391887998386,4296.391887998386
endpoint,K000010,Q3-R001,4309.39457890041,4309.39457890041
endpoint,K000010,Q3-R001,4322.3972698024345,4322.3972698024345
endpoint,K000010,Q3-R001,4335.399960704459,4335.399960704459
endpoint,K000010,Q3-R001,4348.402651606483,4348.402651606483
endpoint,K000010,Q3-R001,4361.405342508508,4361.405342508508
endpoint,K000010,Q3-R001,4374.408033410532,4374.408033410532
endpoint,K000010,Q3-R001,4387.410724312556,4387.410724312556
endpoint,K000010,Q3-R001,4400.413415214581,4400.413415214581
endpoint,K000010,Q3-R001,4413.416106116605,4413.416106116605
endpoint,K000010,Q3-R001,4413.416106116605,4413.416106116605
endpoint,K000010,Q3-R001,4449.197807776762,4449.197807776762
endpoint,K000010,Q3-R001,4449.197807776762,4449.197807776762
endpoint,K000010,Q3-R001,4659.197807776762,4659.197807776762
endpoint,K000010,Q3-R001,4659.197807776762,4659.197807776762
endpoint,K000010,Q3-R001,4689.015892493559,4689.015892493559
endpoint,K000010,Q3-R001,4689.015892493559,4689.015892493559
endpoint,K000010,Q3-R001,4702.018583395583,4702.018583395583
endpoint,K000010,Q3-R001,4715.021274297607,4715.021274297607
endpoint,K000010,Q3-R001,4728.023965199632,4728.023965199632
endpoint,K000010,Q3-R001,4741.026656101656,4741.026656101656
endpoint,K000010,Q3-R001,4754.02934700368,4754.02934700368
endpoint,K000010,Q3-R001,4767.032037905705,4767.032037905705
endpoint,K000010,Q3-R001,4780.034728807729,4780.034728807729
endpoint,K000010,Q3-R001,4793.0374197097535,4793.0374197097535
endpoint,K000010,Q3-R001,4806.040110611778,4806.040110611778
endpoint,K000010,Q3-R001,4819.042801513802,4819.042801513802
endpoint,K000010,Q3-R001,4832.045492415827,4832.045492415827
endpoint,K000010,Q3-R001,4845.048183317851,4845.048183317851
endpoint,K000010,Q3-R001,4858.050874219875,4858.050874219875
endpoint,K000010,Q3-R001,4871.0535651219,4871.0535651219
endpoint,K000010,Q3-R001,4884.056256023924,4884.056256023924
endpoint,K000010,Q3-R001,4897.0589469259485,4897.0589469259485
endpoint,K000010,Q3-R001,4910.061637827973,4910.061637827973
endpoint,K000012,Q3-R001,5644.404110825358,5644.404110825358
endpoint,K000012,Q3-R001,5657.492087343855,5657.492087343855
endpoint,K000012,Q3-R001,5670.580063862351,5670.580063862351
endpoint,K000012,Q3-R001,5683.668040380849,5683.668040380849
endpoint,K000012,Q3-R001,5696.756016899346,5696.756016899346
endpoint,K000012,Q3-R001,5709.843993417843,5709.843993417843
endpoint,K000012,Q3-R001,5722.9319699363405,5722.9319699363405
endpoint,K000012,Q3-R001,5736.019946454838,5736.019946454838
endpoint,K000012,Q3-R001,5749.107922973335,5749.107922973335
endpoint,K000012,Q3-R001,5762.195899491832,5762.195899491832
endpoint,K000012,Q3-R001,5775.28387601033,5775.28387601033
endpoint,K000012,Q3-R001,5788.371852528827,5788.371852528827
endpoint,K000012,Q3-R001,5801.459829047324,5801.459829047324
endpoint,K000012,Q3-R001,5814.547805565821,5814.547805565821
endpoint,K000012,Q3-R001,5827.635782084319,5827.635782084319
endpoint,K000012,Q3-R001,5840.723758602816,5840.723758602816
endpoint,K000012,Q3-R001,5853.811735121313,5853.811735121313
endpoint,K000012,Q3-R001,5853.811735121313,5853.811735121313
endpoint,K000012,Q3-R001,5891.029091485245,5891.029091485245
