route_id,phase,t0,t1,mode,relay_id
K000012,物资投送,5965.46380421311,6361.46380421311,中继,Q3-R001
K000012,爬升,6361.46380421311,6450.785459486548,中继,Q3-R001
K000012,巡航,6450.785459486548,6660.193083782504,中继,Q3-R001
K000012,巡航,6660.193083782504,6672.736319029638,中继,Q3-R005
K000012,巡航,6672.736319029638,6935.040590670944,直连,
K000012,下降,6935.040590670944,7152.09265976274,直连,
K000014,爬升,5645.61984843064,5793.652933554337,直连,
K000014,巡航,5793.652933554337,6055.8862182977045,直连,
K000014,巡航,6055.8862182977045,6194.303926369032,中继,Q3-R001
K000014,下降,6194.303926369033,6233.2236285174695,中继,Q3-R001
K000014,物资投送,6233.223628517471,6473.2236285174695,中继,Q3-R001
K000014,爬升,6473.223628517471,6505.656713641168,中继,Q3-R001
K000014,巡航,6505.6567136411695,6518.580939215837,中继,Q3-R005
K000014,巡航,6518.580939215837,6644.074421712495,中继,Q3-R001
K000014,巡航,6644.074421712495,6906.307706455862,直连,
K000014,下降,6906.307706455862,7083.947408604299,直连,
K000015,爬升,5867.439194949478,5975.654861453385,直连,
K000015,巡航,5975.654861453385,6348.029891158703,直连,
K000015,巡航,6348.029891158703,6489.9669712058185,中继,Q3-R001
K000015,下降,6489.96697120582,6532.451762770762,中继,Q3-R001
K000015,下降,6532.451762770762,6574.936554335702,中继,Q3-R005
K000015,物资投送,6574.9365543357035,6970.936554335702,中继,Q3-R005
K000015,爬升,6970.9365543357035,7004.924387587656,中继,Q3-R005
K000015,爬升,7004.924387587656,7038.9122208396075,中继,Q3-R001
K000015,巡航,7038.912220839609,7180.849300886722,中继,Q3-R001
K000015,巡航,7180.849300886722,7553.224330592041,直连,
K000015,下降,7553.224330592041,7688.4939137219235,直连,
K000013,爬升,6164.985890338107,6220.162194455946,直连,
K000013,巡航,6220.162194455946,6483.736750892952,直连,
K000013,巡航,6483.736750892952,6600.51575756388,中继,Q3-R005
K000013,下降,6600.5157575638805,6625.807322505286,中继,Q3-R005
K000013,物资投送,6625.807322505287,6865.807322505286,中继,Q3-R005
K000013,爬升,6865.807322505287,6886.883626623125,中继,Q3-R005
K000013,巡航,6886.883626623126,7003.662633294052,中继,Q3-R005
K000013,巡航,7003.662633294052,7267.237189731059,直连,
K000013,下降,7267.237189731059,7333.448754672465,直连,
K000017,爬升,7443.947408604299,7588.648787998831,直连,
K000017,巡航,7588.648787998831,7850.953059640136,直连,
K000017,巡航,7850.953059640136,8072.903919183225,中继,Q3-R001
K000017,下降,8072.903919183227,8162.225574456663,中继,Q3-R001
K000017,物资投送,8162.225574456665,8372.225574456663,中继,Q3-R001
K000017,爬升,8372.225574456665,8446.660287184528,中继,Q3-R001
K000017,巡航,8446.66028718453,8538.276122814008,中继,Q3-R001
K000017,巡航,8538.276122814008,8668.61114672762,中继,Q3-R006
K000017,巡航,8668.61114672762,8930.915418368926,直连,
K000017,下降,8930.915418368926,9104.557073642363,直连,
K000018,爬升,7632.09265976274,7711.577015231491,直连,
K000018,巡航,7711.577015231491,7975.060846595585,直连,
K000018,巡航,7975.060846595585,8063.616573172539,中继,Q3-R001
K000018,下降,8063.61657317254,8129.322017508476,中继,Q3-R001
K000018,物资投送,8129.322017508477,8525.322017508475,中继,Q3-R001
K000018,爬升,8525.322017508477,8551.604195242853,中继,Q3-R001
K000018,爬升,8551.604195242853,8577.886372977226,中继,Q3-R006
K000018,巡航,8577.886372977227,8666.44209955418,中继,Q3-R006
K000018,巡航,8666.44209955418,8929.925930918274,直连,
K000018,下降,8929.925930918274,9029.281375254212,直连,
K000019,爬升,8221.37381719055,8279.51646123352,直连,
K000019,巡航,8279.51646123352,8483.118035067851,直连,
K000019,下降,8483.118035067851,8527.646340121562,直连,
K000019,物资投送,8527.646340121562,8851.646340121562,直连,
K000019,爬升,8851.646340121562,8887.268984164532,直连,
K000019,巡航,8887.268984164532,9090.870557998864,直连,
K000019,下降,9090.870557998864,9163.548863052574,直连,
K000016,爬升,8366.729672266098,8422.616924056461,直连,
K000016,巡航,8422.616924056461,8609.824018214586,直连,
K000016,下降,8609.824018214586,8643.128720363024,直连,
K000016,物资投送,8643.128720363024,8883.128720363024,直连,
K000016,爬升,8883.128720363024,8910.882638820054,直连,
K000016,巡航,8910.882638820054,9098.089732978178,直连,
K000016,下降,9098.089732978178,9165.154435126617,直连,
