pattern,zone,vehicle,nbox,mass,volume,combinations,ub,prep_load_s,handoff_s,operation_s,battery,rho_crit,energy,horizontal_energy,climb_energy,out_s,back_s,fly_s,counts
P00514,S006,C,4,31.0,0.10200000000000001,3,1,420.0,324.0,1429.5526244866226,8.0,0.7235385081669381,2.211691934664495,2.107081981718362,0.1046099529461331,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T2"": 1, ""S006:T3"": 1}"
P00515,S006,C,5,45.0,0.129,3,1,450.0,360.0,1495.5526244866226,8.0,0.7042320129830739,2.366143896135409,2.2489021687845385,0.11724172735087078,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T2"": 1, ""S006:T3"": 2}"
P00516,S006,C,6,59.0,0.156,1,1,480.0,396.0,1561.5526244866226,8.0,0.6752524199103676,2.59798064071706,2.4681071389614515,0.12987350175560847,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T2"": 1, ""S006:T3"": 3}"
P00517,S007,A,1,14.0,0.027,2,2,330.0,180.0,1667.4668858917819,4.5,0.5838566837505814,1.8726449231223836,1.707169037137327,0.16547588598505658,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T3"": 1}"
P00518,S007,B,1,14.0,0.027,2,2,330.0,180.0,1516.3096400610816,4.0,0.6116852768627741,1.5532588925489035,1.3981483454806254,0.155110547068278,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T3"": 1}"
P00519,S007,C,1,14.0,0.027,2,2,330.0,216.0,1643.6006984106912,8.0,0.6233596205829661,3.013123035336271,2.84785445612955,0.165268579206721,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T3"": 1}"
P00520,S007,B,2,28.0,0.054,1,1,360.0,210.0,1576.3096400610816,4.0,0.5302211019747363,1.879115592101055,1.7036439038826203,0.17547168821843465,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T3"": 2}"
P00521,S007,C,2,28.0,0.054,1,1,360.0,252.0,1709.6006984106912,8.0,0.6060854919678033,3.151316064257574,2.965686343900696,0.18562972035687764,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T3"": 2}"
P00522,S007,A,1,8.0,0.028,1,1,330.0,180.0,1667.4668858917819,4.5,0.5955756943925745,1.8199093752334146,1.663159692598425,0.15674968263498942,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T2"": 1}"
P00523,S007,B,1,8.0,0.028,1,1,330.0,180.0,1516.3096400610816,4.0,0.6293380337238497,1.4826478651046011,1.3362635213863903,0.14638434371821085,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T2"": 1}"
P00524,S007,C,1,8.0,0.028,1,1,330.0,216.0,1643.6006984106912,8.0,0.6285865145248668,2.971307883801065,2.8147655079444114,0.15654237585665387,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T2"": 1}"
P00525,S007,A,2,22.0,0.055,2,1,360.0,210.0,1727.4668858917819,4.5,0.5619946695683915,1.971023986942238,1.7939131631570917,0.17711082378514612,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T2"": 1, ""S007:T3"": 1}"
P00526,S007,B,2,22.0,0.055,2,1,360.0,210.0,1576.3096400610816,4.0,0.5747659790953641,1.7009360836185439,1.5341905987501763,0.16674548486836752,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T2"": 1, ""S007:T3"": 1}"
P00527,S007,C,2,22.0,0.055,2,1,360.0,252.0,1709.6006984106912,8.0,0.6143789339606207,3.0849685283150348,2.9080650113082243,0.17690351700681056,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T2"": 1, ""S007:T3"": 1}"
P00528,S007,C,3,36.0,0.082,1,1,390.0,288.0,1775.6006984106912,8.0,0.5926651540628298,3.258678767497362,3.0614141093403946,0.1972646581569672,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T2"": 1, ""S007:T3"": 2}"
P00529,S007,A,1,6.0,0.035,1,1,330.0,180.0,1667.4668858917819,4.5,0.5986676429808686,1.8059956065860916,1.6521546584011246,0.15384094818496705,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T1"": 1}"
