job,meta,status
随机09,"{'status': 0, 'mip_gap': 0.0, 'nodes': 0, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
随机16,"{'status': 0, 'mip_gap': 0.0004992683319223496, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机23,"{'status': 0, 'mip_gap': 0.000485739957364757, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 20, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
随机17,"{'status': 0, 'mip_gap': 0.0, 'nodes': 0, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机12,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
随机28,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 21, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
随机18,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(13)}",no_feasible_schedule
随机20,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机25,"{'status': 0, 'mip_gap': 0.0, 'nodes': 0, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机27,"{'status': 0, 'mip_gap': 0.0004090588749912598, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机21,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
随机24,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(13)}",no_feasible_schedule
随机26,"{'status': 0, 'mip_gap': 0.0004285362691103284, 'nodes': 27, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
